acat,hmgs,hmgr,mk,pmk,pmd,idi,gpps,ls,NAD,CoA,ATP
8.026682894,6.014507167,5.927470646,1,0.7,0.6,2,3,5.08,0,0,0
8.026682894,6.014507167,5.927470646,0.4,0.4,0.4,2,3,5.08,0,0,0
8.026682894,6.014507167,5.927470646,0.4,0.4,0.4,2,3,2.44,0,0,0
0.6,0.6,0.6,0.4,0.4,0.4,2,3,5.08,0,0,0
0.6,0.6,0.6,0.4,0.4,0.4,2,3,2.93,0,0,0
8.026682894,6.014507167,5.927470646,1,0.7,0.6,2,3,2.93,0,0,0
5.2434,6.1674,1.5,0.4,0.4,0.4,2,3,5.08,0,0,0
5.2434,1.5,1.5,0.4,0.4,0.4,2,3,5.08,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,5.08,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,0.4,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,1.5,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,0.4,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,3,3,0,0,0
6.9912,8.2232,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,2,1.8,0,0,0
6.9912,8.2232,1,0.4,0.4,0.4,2,2,1.8,0,0,0
6.9912,8.2232,1,0.4,0.4,0.4,2,2,1.8,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.2,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.6,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.8,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,1,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,2,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.8,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.6,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.9,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,2.75,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1.58,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,0.7,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,1.4,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,1.4,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
0.6,0.6,0.8,0.4,0.4,0.4,2,,1,0,0,0
0.6,0.6,0.8,0.4,0.4,0.4,2,2.5,1,0,0,0
4.6608,5.482133333,0,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.4,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.7,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1.3,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1.6,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,3,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.05,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.1,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.2,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.6,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.8,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,1.6,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.1,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.2,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.6,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.8,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,1.2,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,2,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.1,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.2,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.6,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.8,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,1.2,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,2,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,0,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,0.4,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,3,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,3.5,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,5,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,0,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,0.5,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1.5,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,2,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,2.5,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3.5,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,1,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,1.5,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,2,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,2.5,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,2.5,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,2.5,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,2.5,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,2.5,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,1.8,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,,0,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
0.18545475,0.75218625,0.5793585,0.0440565,0.11397075,0.2827275,0.35208975,0.02565075,0.6325575,5,1,1
0.186231,0.68432475,0.6204825,0.03293025,0.120888,0.1053285,0.20925975,0.46680225,0.878439,5,1,1
0.1457625,0.57941025,0.37244475,0.01695675,0.0747615,0.07270875,0.12321675,0.401856,0.7349535,5,1,1
0.220662,0.7059045,0.64116525,0.0515085,0.131928,0.31876275,0.35440125,0.08226525,0.6956235,5,1,1
0.256956,0.8853735,0.6860325,0.06066825,0.2037225,0.2180055,0.30178875,0.6389745,1.1701365,5,1,1
0.260613,0.77143725,0.5737695,0.060996,0.23986125,0.19677075,0.23958525,0.78085575,1.21324425,5,1,1
0.1405185,0.3598695,0.26680575,0.060168,0.1244415,0.313605,0.30927525,0.027048,0.4771695,5,1,1
0.16351275,0.4170705,0.29261175,0.06032325,0.133653,0.29771775,0.27898425,0.03748425,0.53680275,5,1,1
0.1897845,0.44724075,0.28598775,0.06473925,0.1627365,0.297321,0.26973825,0.050853,0.5957115,5,1,1
0.0227355,0.04583325,0.03686325,0.034983,0.06608475,0.16768725,0.2547825,0.09972225,0.70550775,5,1,1
0.0612375,0.1768815,0.15468075,0.0346035,0.08730225,0.1554225,0.1835055,0.0495075,0.6124785,5,1,1
0.06946575,0.23409975,0.22685475,0.01794,0.0550965,0.14981625,0.20177325,0.07315725,0.5641785,5,1,1
0.0285315,0.064791,0.0480585,0.04407375,0.07602075,0.1947525,0.31959075,0.1539045,0.78171825,5,1,1
0.06594675,0.19635675,0.1565955,0.06417,0.12021525,0.27594825,0.367701,0.096255,0.96432675,5,1,1
0.10624275,0.33646125,0.24865875,0.05580375,0.169326,0.309534,0.29844225,0.02430525,0.86372475,5,1,1
0.007452,0.01540425,0.0112815,0.01944075,0.03344775,0.117507,0.1272015,0.01806075,0.212727,5,1,1
0.02182125,0.050508,0.03037725,0.0216315,0.0412275,0.118335,0.18276375,0.0567525,0.4017525,5,1,1
0.02534025,0.051888,0.03544875,0.026496,0.0428835,0.121302,0.1664625,0.05428575,0.3589035,5,1,1
0.00788325,0.0208725,0.0172155,0.04673025,0.08091975,0.33408075,0.27591375,0.02454675,0.52917825,5,1,1
0.02967,0.085284,0.07426125,0.05249175,0.10717425,0.2804505,0.4351485,0.03872625,1.46192025,5,1,1
0.04027875,0.11397075,0.1207155,0.055131,0.12873675,0.3010125,0.4025805,0.0437115,1.582308,5,1,1
0.00646875,0.015456,0.01405875,0.04334925,0.065619,0.222318,0.23258175,0.01471425,0.41108475,5,1,1
0.03848475,0.09330525,0.0882855,0.064584,0.13629225,0.337962,0.4718565,0.07477875,1.5928305,5,1,1
0.041124,0.129168,0.134826,0.0691725,0.16237425,0.378396,0.54877425,0.051198,1.93263825,5,1,1
