acat,hmgs,hmgr,mk,pmk,pmd,idi,gpps,ls,NAD,CoA,ATP
0.00377775,0.00740025,0.00483,0.038916,0.05877075,0.181815,0.181401,0.01043625,0.25445475,5,1,1
0.01081575,0.02968725,0.0154215,0.018285,0.03275775,0.106536,0.1575615,0.03168825,0.49850775,5,1,1
0.02208,0.0366735,0.02057925,0.0290835,0.08533575,0.14381325,0.1719825,0.0646185,0.66386625,5,1,1
0.041421059,0.01466692,0.008628945,0.06566991,0.032862015,0.225648386,0.163674546,0.019383699,0.46989958,5,1,1
0.2165565,0.070802625,0.044806875,0.1808835,0.101749125,0.5507925,0.395137125,0.281580375,1.951673625,5,1,1
0.338071076,0.112796332,0.067374153,0.245804995,0.134774396,0.708103629,0.447723987,0.322165253,2.345860305,5,1,1
0.256956,0.8853735,0.6860325,0.06066825,0.2037225,0.2180055,0.30178875,0.6389745,1.1701365,5,1,1
0.0227355,0.04583325,0.03686325,0.034983,0.06608475,0.16768725,0.2547825,0.09972225,0.70550775,5,1,1
0.10624275,0.33646125,0.24865875,0.05580375,0.169326,0.309534,0.29844225,0.02430525,0.86372475,5,1,1
0.00377775,0.00740025,0.00483,0.038916,0.05877075,0.181815,0.181401,0.01043625,0.25445475,5,1,1
0.338071076,0.112796332,0.067374153,0.245804995,0.134774396,0.708103629,0.447723987,0.322165253,2.345860305,5,1,1
0.451542,1.83141,1.410612,0.107268,0.277494,0.68838,0.857262,0.062454,1.54014,5,1,1
0.055356,0.111594,0.089754,0.085176,0.160902,0.408282,0.62034,0.242802,1.717758,5,1,1
0.258678,0.81921,0.60543,0.13587,0.412272,0.753648,0.726642,0.059178,2.102982,5,1,1
0.009198,0.018018,0.01176,0.094752,0.143094,0.44268,0.441672,0.02541,0.619542,5,1,1
0.462084,1.088934,0.696318,0.157626,0.396228,0.723912,0.656754,0.123816,1.450428,5,1,1
0.1491,0.430668,0.376614,0.084252,0.212562,0.37842,0.446796,0.12054,1.491252,5,1,1
0.069468,0.157752,0.117012,0.10731,0.185094,0.47418,0.778134,0.374724,1.903314,5,1,1
0.05313,0.122976,0.073962,0.052668,0.10038,0.28812,0.44499,0.13818,0.97818,5,1,1
0.01575,0.037632,0.03423,0.105546,0.159768,0.541296,0.566286,0.035826,1.000902,5,1,1
0.026334,0.072282,0.037548,0.04452,0.079758,0.259392,0.383628,0.077154,1.213758,5,1,1
0.05376,0.089292,0.050106,0.070812,0.207774,0.350154,0.41874,0.157332,1.61637,5,1,1
0.100851273,0.035710761,0.021009604,0.159891956,0.080011863,0.549404767,0.398511938,0.047195094,1.144103326,5,1,1
0.342132,0.876204,0.649614,0.146496,0.302988,0.76356,0.753018,0.065856,1.161804,5,1,1
0.398118,1.015476,0.712446,0.146874,0.325416,0.724878,0.679266,0.091266,1.306998,5,1,1
0.169134,0.569982,0.552342,0.04368,0.134148,0.36477,0.491274,0.178122,1.373652,5,1,1
0.160566,0.478086,0.381276,0.15624,0.292698,0.671874,0.895272,0.23436,2.347926,5,1,1
0.061698,0.126336,0.08631,0.064512,0.104412,0.295344,0.4053,0.132174,0.873852,5,1,1
0.019194,0.05082,0.041916,0.113778,0.197022,0.813414,0.67179,0.059766,1.288434,5,1,1
4.6608,0,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,0.2,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,0.5,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,1,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,2,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,0,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,0.2,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,0.4,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,0.6,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,5,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,5,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,5,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,5,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,5,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,1,5,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,0,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,5,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.5,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.1,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,0.5,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.5,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1.3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,0.7,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.5,0.2,0.2,0.2,1,1.5,1,0,0,0
4.6608,5.482133333,0.5,0.2,0.2,0.2,1,1.5,1,0,0,0
4.6608,5.482133333,0.5,0.2,0.2,0.2,1,1.5,1,0,0,0
4.6608,5.482133333,0.5,0.2,0.2,0.2,1,1.5,1,0,0,0
4.6608,5.482133333,0.5,0.2,0.2,0.2,1,1.5,1,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.05,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.4,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.6,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,0.8,0.4,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.05,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.1,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.2,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.6,0.4,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.05,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.1,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.6,0.2,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.8,0.6,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,1.6,0.8,0.4,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.05,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.1,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.2,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.6,2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,0.05,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,0.1,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,0.2,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,0.6,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,1,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,1.5,3,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,0,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,0.5,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,1.5,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,2,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,2.5,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,5,1,1
0,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
0.5,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
1,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
1.5,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
2.5,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,3,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,4,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,5.482133333,1,0.4,0.4,0.4,2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2.5,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2.5,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2.5,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2.5,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,2,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,0,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,1,3.386666667,5,1,1
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,0,0,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,1,0
4.6608,5.482133333,0.2,0.1,0.2,0.2,0.2,3,3.386666667,5,0,1
