,Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
0,1,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.717847769
1,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.009186352
2,1,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.150918635
3,1,1,1,0.25,1,0.25,1,0.25,1,0.25,1.107611549
4,2,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.221784777
5,2,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.233595801
6,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.249343832
7,2,1,1,0.25,1,0.25,1,0.25,1,0.25,0.19816273
8,3,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.721784777
9,3,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.221784777
10,3,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.111548556
11,3,1,1,0.25,1,0.25,1,0.25,1,0.25,0.713910761
12,4,0.1,1,0.25,1,0.25,1,0.25,1,0.25,1.217847769
13,4,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.997375328
14,4,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.351706037
15,4,1,1,0.25,1,0.25,1,0.25,1,0.25,1.17847769
16,1,0.25,1,0.1,1,0.25,1,0.25,1,0.25,0.963547995
17,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1
18,1,0.25,1,0.5,1,0.25,1,0.25,1,0.25,0.825030377
19,1,0.25,1,1,1,0.25,1,0.25,1,0.25,0.690157959
20,1,0.25,2,0.1,1,0.25,1,0.25,1,0.25,0.901579587
21,1,0.25,2,0.25,1,0.25,1,0.25,1,0.25,0.948967193
22,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,0.934386391
23,1,0.25,2,1,1,0.25,1,0.25,1,0.25,0.493317132
24,1,0.25,3,0.1,1,0.25,1,0.25,1,0.25,1.047387606
25,1,0.25,3,0.25,1,0.25,1,0.25,1,0.25,0.985419198
26,1,0.25,3,0.5,1,0.25,1,0.25,1,0.25,0.679222357
27,1,0.25,3,1,1,0.25,1,0.25,1,0.25,0.456865128
28,1,0.25,4,0.1,1,0.25,1,0.25,1,0.25,0.941676792
29,1,0.25,4,0.25,1,0.25,1,0.25,1,0.25,1.018226002
30,1,0.25,4,0.5,1,0.25,1,0.25,1,0.25,1.040097205
31,1,0.25,4,1,1,0.25,1,0.25,1,0.25,0.85054678
32,1,0.25,5,0.1,1,0.25,1,0.25,1,0.25,1.185905225
33,1,0.25,5,0.25,1,0.25,1,0.25,1,0.25,1.269744836
34,1,0.25,5,0.5,1,0.25,1,0.25,1,0.25,0.650060753
35,1,0.25,5,1,1,0.25,1,0.25,1,0.25,0.394896719
36,1,0.25,1,0.25,1,0.1,1,0.25,1,0.25,0.806866953
37,1,0.25,1,0.25,1,0.5,1,0.25,1,0.25,1.347639485
38,1,0.25,1,0.25,1,1,1,0.25,1,0.25,2.055793991
39,1,0.25,1,0.25,2,0.1,1,0.25,1,0.25,0.497854077
40,1,0.25,1,0.25,2,0.25,1,0.25,1,0.25,0.639484979
41,1,0.25,1,0.25,2,0.5,1,0.25,1,0.25,0.665236052
42,1,0.25,1,0.25,2,1,1,0.25,1,0.25,0.639484979
43,1,0.25,1,0.25,3,0.1,1,0.25,1,0.25,3.137339056
44,1,0.25,1,0.25,3,0.25,1,0.25,1,0.25,2.081545064
45,1,0.25,1,0.25,3,0.5,1,0.25,1,0.25,1.721030043
46,1,0.25,1,0.25,3,1,1,0.25,1,0.25,1.064377682
47,1,0.25,1,0.25,4,0.1,1,0.25,1,0.25,2.158798283
48,1,0.25,1,0.25,4,0.25,1,0.25,1,0.25,2.763948498
49,1,0.25,1,0.25,4,0.5,1,0.25,1,0.25,2.261802575
50,1,0.25,1,0.25,4,1,1,0.25,1,0.25,1.91416309
51,1,0.25,1,0.25,5,0.1,1,0.25,1,0.25,0.575107296
52,1,0.25,1,0.25,5,0.25,1,0.25,1,0.25,0.665236052
53,1,0.25,1,0.25,5,0.5,1,0.25,1,0.25,0.909871245
54,1,0.25,1,0.25,5,1,1,0.25,1,0.25,0.652360515
55,1,0.25,1,0.25,1,0.25,1,0.1,1,0.25,0.798903108
56,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.012797075
57,1,0.25,1,0.25,1,0.25,1,0.5,1,0.25,0.809872029
58,1,0.25,1,0.25,1,0.25,1,1,1,0.25,0.782449726
59,1,0.25,1,0.25,1,0.25,2,0.1,1,0.25,0.996343693
60,1,0.25,1,0.25,1,0.25,2,0.25,1,0.25,1.040219378
61,1,0.25,1,0.25,1,0.25,2,0.5,1,0.25,0.864716636
62,1,0.25,1,0.25,1,0.25,2,1,1,0.25,0.73857404
63,1,0.25,1,0.25,1,0.25,3,0.1,1,0.25,0.623400366
64,1,0.25,1,0.25,1,0.25,3,0.25,1,0.25,0.683729433
65,1,0.25,1,0.25,1,0.25,3,0.5,1,0.25,0.689213894
66,1,0.25,1,0.25,1,0.25,3,1,1,0.25,0.645338208
67,1,0.25,1,0.25,1,0.25,4,0.1,1,0.25,1.188299817
68,1,0.25,1,0.25,1,0.25,4,0.25,1,0.25,0.776965265
69,1,0.25,1,0.25,1,0.25,4,0.5,1,0.25,0.782449726
70,1,0.25,1,0.25,1,0.25,4,1,1,0.25,0.628884826
71,1,0.25,1,0.25,1,0.25,5,0.1,1,0.25,0.151736746
72,1,0.25,1,0.25,1,0.25,5,0.25,1,0.25,0.223034735
73,1,0.25,1,0.25,1,0.25,5,0.5,1,0.25,0.376599634
74,1,0.25,1,0.25,1,0.25,5,1,1,0.25,0.360146252
75,1,0.25,1,0.25,1,0.25,1,0.25,1,0.1,0.737891738
76,1,0.25,1,0.25,1,0.25,1,0.25,1,0.5,0.925925926
77,1,0.25,1,0.25,1,0.25,1,0.25,1,1,0.866096866
78,1,0.25,1,0.25,1,0.25,1,0.25,2,0.1,1.301994302
79,1,0.25,1,0.25,1,0.25,1,0.25,2,0.25,1.045584046
80,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5,0.772079772
81,1,0.25,1,0.25,1,0.25,1,0.25,2,1,0.524216524
82,1,0.25,1,0.25,1,0.25,1,0.25,3,0.1,0.310541311
83,1,0.25,1,0.25,1,0.25,1,0.25,3,0.25,0.481481481
84,1,0.25,1,0.25,1,0.25,1,0.25,3,0.5,0.464387464
85,1,0.25,1,0.25,1,0.25,1,0.25,3,1,0.250712251
86,1,0.25,1,0.25,1,0.25,1,0.25,4,0.1,1.532763533
87,1,0.25,1,0.25,1,0.25,1,0.25,4,0.25,1.541310541
88,1,0.25,1,0.25,1,0.25,1,0.25,4,0.5,1.464387464
89,1,0.25,1,0.25,1,0.25,1,0.25,4,1,1.122507123
90,1,0.25,1,0.25,1,0.25,1,0.25,5,0.1,1.113960114
91,1,0.25,1,0.25,1,0.25,1,0.25,5,0.25,1.276353276
92,1,0.25,1,0.25,1,0.25,1,0.25,5,0.5,0.831908832
93,1,0.25,1,0.25,1,0.25,1,0.25,5,1,0.361823362
94,1,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.501312336
95,1,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.209973753
96,1,1,1,0.25,1,0.25,1,0.25,1,0.25,0.977690289
97,2,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.150918635
98,2,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.245406824
99,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.265091864
100,2,1,1,0.25,1,0.25,1,0.25,1,0.25,0.237532808
101,3,0.1,1,0.25,1,0.25,1,0.25,1,0.25,1.060367454
102,3,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.194225722
103,3,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.099737533
104,3,1,1,0.25,1,0.25,1,0.25,1,0.25,0.721784777
105,4,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.954068241
106,4,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.501312336
107,4,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.422572178
108,4,1,1,0.25,1,0.25,1,0.25,1,0.25,1.12335958
109,1,0.25,1,0.1,1,0.25,1,0.25,1,0.25,0.992709599
110,1,0.25,1,0.5,1,0.25,1,0.25,1,0.25,0.784933171
111,1,0.25,1,1,1,0.25,1,0.25,1,0.25,0.562575942
112,1,0.25,2,0.1,1,0.25,1,0.25,1,0.25,1.054678007
113,1,0.25,2,0.25,1,0.25,1,0.25,1,0.25,0.978128797
114,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,0.806804374
115,1,0.25,2,1,1,0.25,1,0.25,1,0.25,0.839611179
116,1,0.25,3,0.1,1,0.25,1,0.25,1,0.25,0.828675577
117,1,0.25,3,0.25,1,0.25,1,0.25,1,0.25,1.207776428
118,1,0.25,3,0.5,1,0.25,1,0.25,1,0.25,0.562575942
119,1,0.25,3,1,1,0.25,1,0.25,1,0.25,0.383961118
120,1,0.25,4,0.1,1,0.25,1,0.25,1,0.25,0.843256379
121,1,0.25,4,0.25,1,0.25,1,0.25,1,0.25,0.854191981
122,1,0.25,4,0.5,1,0.25,1,0.25,1,0.25,0.948967193
123,1,0.25,4,1,1,0.25,1,0.25,1,0.25,1.032806804
124,1,0.25,5,0.1,1,0.25,1,0.25,1,0.25,1.131227217
125,1,0.25,5,0.25,1,0.25,1,0.25,1,0.25,1.0036452
126,1,0.25,5,0.5,1,0.25,1,0.25,1,0.25,0.752126367
127,1,0.25,5,1,1,0.25,1,0.25,1,0.25,0.453219927
128,1,0.25,1,0.25,1,0.1,1,0.25,1,0.25,0.974248927
129,1,0.25,1,0.25,1,0.5,1,0.25,1,0.25,1.334763948
130,1,0.25,1,0.25,1,1,1,0.25,1,0.25,2.274678112
131,1,0.25,1,0.25,2,0.1,1,0.25,1,0.25,0.343347639
132,1,0.25,1,0.25,2,0.25,1,0.25,1,0.25,0.755364807
133,1,0.25,1,0.25,2,0.5,1,0.25,1,0.25,0.510729614
134,1,0.25,1,0.25,2,1,1,0.25,1,0.25,0.626609442
135,1,0.25,1,0.25,3,0.1,1,0.25,1,0.25,2.480686695
136,1,0.25,1,0.25,3,0.25,1,0.25,1,0.25,2.64806867
137,1,0.25,1,0.25,3,0.5,1,0.25,1,0.25,1.527896996
138,1,0.25,1,0.25,3,1,1,0.25,1,0.25,1.115879828
139,1,0.25,1,0.25,4,0.1,1,0.25,1,0.25,2.120171674
140,1,0.25,1,0.25,4,0.25,1,0.25,1,0.25,2.918454936
141,1,0.25,1,0.25,4,0.5,1,0.25,1,0.25,2.442060086
142,1,0.25,1,0.25,4,1,1,0.25,1,0.25,1.939914163
143,1,0.25,1,0.25,5,0.1,1,0.25,1,0.25,0.665236052
144,1,0.25,1,0.25,5,0.25,1,0.25,1,0.25,0.948497854
145,1,0.25,1,0.25,5,0.5,1,0.25,1,0.25,0.948497854
146,1,0.25,1,0.25,5,1,1,0.25,1,0.25,0.896995708
147,1,0.25,1,0.25,1,0.25,1,0.1,1,0.25,0.925045704
148,1,0.25,1,0.25,1,0.25,1,0.5,1,0.25,0.776965265
149,1,0.25,1,0.25,1,0.25,1,1,1,0.25,0.782449726
150,1,0.25,1,0.25,1,0.25,2,0.1,1,0.25,1.149908592
151,1,0.25,1,0.25,1,0.25,2,0.25,1,0.25,0.990859232
152,1,0.25,1,0.25,1,0.25,2,0.5,1,0.25,0.81535649
153,1,0.25,1,0.25,1,0.25,2,1,1,0.25,0.694698355
154,1,0.25,1,0.25,1,0.25,3,0.1,1,0.25,0.617915905
155,1,0.25,1,0.25,1,0.25,3,0.25,1,0.25,0.689213894
156,1,0.25,1,0.25,1,0.25,3,0.5,1,0.25,0.667276051
157,1,0.25,1,0.25,1,0.25,3,1,1,0.25,0.57952468
158,1,0.25,1,0.25,1,0.25,4,0.1,1,0.25,1.0511883
159,1,0.25,1,0.25,1,0.25,4,0.25,1,0.25,0.765996344
160,1,0.25,1,0.25,1,0.25,4,0.5,1,0.25,0.848263254
161,1,0.25,1,0.25,1,0.25,4,1,1,0.25,0.639853748
162,1,0.25,1,0.25,1,0.25,5,0.1,1,0.25,0.288848263
163,1,0.25,1,0.25,1,0.25,5,0.25,1,0.25,0.327239488
164,1,0.25,1,0.25,1,0.25,5,0.5,1,0.25,0.398537477
165,1,0.25,1,0.25,1,0.25,5,1,1,0.25,0.34369287
166,1,0.25,1,0.25,1,0.25,1,0.25,1,0.1,0.635327635
167,1,0.25,1,0.25,1,0.25,1,0.25,1,0.5,0.9002849
168,1,0.25,1,0.25,1,0.25,1,0.25,1,1,0.806267806
169,1,0.25,1,0.25,1,0.25,1,0.25,2,0.1,0.951566952
170,1,0.25,1,0.25,1,0.25,1,0.25,2,0.25,1.113960114
171,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5,0.814814815
172,1,0.25,1,0.25,1,0.25,1,0.25,2,1,0.378917379
173,1,0.25,1,0.25,1,0.25,1,0.25,3,0.1,0.199430199
174,1,0.25,1,0.25,1,0.25,1,0.25,3,0.25,0.387464387
175,1,0.25,1,0.25,1,0.25,1,0.25,3,0.5,0.49002849
176,1,0.25,1,0.25,1,0.25,1,0.25,3,1,0.131054131
177,1,0.25,1,0.25,1,0.25,1,0.25,4,0.1,1.60968661
178,1,0.25,1,0.25,1,0.25,1,0.25,4,0.25,1.267806268
179,1,0.25,1,0.25,1,0.25,1,0.25,4,0.5,1.566951567
180,1,0.25,1,0.25,1,0.25,1,0.25,4,1,0.925925926
181,1,0.25,1,0.25,1,0.25,1,0.25,5,0.1,1.447293447
182,1,0.25,1,0.25,1,0.25,1,0.25,5,0.25,1.216524217
183,1,0.25,1,0.25,1,0.25,1,0.25,5,0.5,0.558404558
184,1,0.25,1,0.25,1,0.25,1,0.25,5,1,0.404558405
185,1,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.69816273
186,1,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.292650919
187,1,1,1,0.25,1,0.25,1,0.25,1,0.25,0.918635171
188,2,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.249343832
189,2,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.241469816
190,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.217847769
191,2,1,1,0.25,1,0.25,1,0.25,1,0.25,0.17847769
192,3,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.879265092
193,3,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.30839895
194,3,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.879265092
195,3,1,1,0.25,1,0.25,1,0.25,1,0.25,0.997375328
196,4,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.985564304
197,4,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.509186352
198,4,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.371391076
199,4,1,1,0.25,1,0.25,1,0.25,1,0.25,1.351706037
200,1,0.25,1,0.1,1,0.25,1,0.25,1,0.25,0.781287971
201,1,0.25,1,0.5,1,0.25,1,0.25,1,0.25,0.861482382
202,1,0.25,1,1,1,0.25,1,0.25,1,0.25,0.489671932
203,1,0.25,2,0.1,1,0.25,1,0.25,1,0.25,1.025516403
204,1,0.25,2,0.25,1,0.25,1,0.25,1,0.25,1.167679222
205,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,0.803159174
206,1,0.25,2,1,1,0.25,1,0.25,1,0.25,0.62454435
207,1,0.25,3,0.1,1,0.25,1,0.25,1,0.25,1.306196841
208,1,0.25,3,0.25,1,0.25,1,0.25,1,0.25,1.269744836
209,1,0.25,3,0.5,1,0.25,1,0.25,1,0.25,0.515188335
210,1,0.25,4,0.1,1,0.25,1,0.25,1,0.25,0.956257594
211,1,0.25,4,0.25,1,0.25,1,0.25,1,0.25,1.091130012
212,1,0.25,4,0.5,1,0.25,1,0.25,1,0.25,0.92345079
213,1,0.25,4,1,1,0.25,1,0.25,1,0.25,0.741190765
214,1,0.25,5,0.1,1,0.25,1,0.25,1,0.25,1.200486027
215,1,0.25,5,0.25,1,0.25,1,0.25,1,0.25,1.178614824
216,1,0.25,5,0.5,1,0.25,1,0.25,1,0.25,0.792223572
217,1,0.25,5,1,1,0.25,1,0.25,1,0.25,0.420413123
218,1,0.25,1,0.25,1,0.1,1,0.25,1,0.25,0.678111588
219,1,0.25,1,0.25,1,0.5,1,0.25,1,0.25,1.283261803
220,1,0.25,1,0.25,1,1,1,0.25,1,0.25,1.721030043
221,1,0.25,1,0.25,2,0.1,1,0.25,1,0.25,0.497854077
222,1,0.25,1,0.25,2,0.25,1,0.25,1,0.25,0.729613734
223,1,0.25,1,0.25,2,0.5,1,0.25,1,0.25,0.793991416
224,1,0.25,1,0.25,2,1,1,0.25,1,0.25,0.201716738
225,1,0.25,1,0.25,3,0.1,1,0.25,1,0.25,3.060085837
226,1,0.25,1,0.25,3,0.25,1,0.25,1,0.25,2.802575107
227,1,0.25,1,0.25,3,0.5,1,0.25,1,0.25,2.004291845
228,1,0.25,1,0.25,3,1,1,0.25,1,0.25,1.193133047
229,1,0.25,1,0.25,4,0.1,1,0.25,1,0.25,1.888412017
230,1,0.25,1,0.25,4,0.25,1,0.25,1,0.25,2.699570815
231,1,0.25,1,0.25,4,0.5,1,0.25,1,0.25,2.261802575
232,1,0.25,1,0.25,4,1,1,0.25,1,0.25,1.733905579
233,1,0.25,1,0.25,5,0.1,1,0.25,1,0.25,0.729613734
234,1,0.25,1,0.25,5,0.25,1,0.25,1,0.25,0.793991416
235,1,0.25,1,0.25,5,0.5,1,0.25,1,0.25,0.832618026
236,1,0.25,1,0.25,5,1,1,0.25,1,0.25,0.845493562
237,1,0.25,1,0.25,1,0.25,1,0.1,1,0.25,0.952468007
238,1,0.25,1,0.25,1,0.25,1,0.5,1,0.25,0.990859232
239,1,0.25,1,0.25,1,0.25,1,1,1,0.25,0.49725777
240,1,0.25,1,0.25,1,0.25,2,0.1,1,0.25,1.001828154
241,1,0.25,1,0.25,1,0.25,2,0.25,1,0.25,1.029250457
242,1,0.25,1,0.25,1,0.25,2,0.5,1,0.25,0.81535649
243,1,0.25,1,0.25,1,0.25,2,1,1,0.25,0.371115174
244,1,0.25,1,0.25,1,0.25,3,0.1,1,0.25,0.634369287
245,1,0.25,1,0.25,1,0.25,3,0.25,1,0.25,0.623400366
246,1,0.25,1,0.25,1,0.25,3,0.5,1,0.25,0.672760512
247,1,0.25,1,0.25,1,0.25,3,1,1,0.25,0.590493601
248,1,0.25,1,0.25,1,0.25,4,0.1,1,0.25,1.095063985
249,1,0.25,1,0.25,1,0.25,4,0.25,1,0.25,1.056672761
250,1,0.25,1,0.25,1,0.25,4,0.5,1,0.25,0.73308958
251,1,0.25,1,0.25,1,0.25,4,1,1,0.25,0.513711152
252,1,0.25,1,0.25,1,0.25,5,0.1,1,0.25,0.239488117
253,1,0.25,1,0.25,1,0.25,5,0.25,1,0.25,0.321755027
254,1,0.25,1,0.25,1,0.25,5,0.5,1,0.25,0.376599634
255,1,0.25,1,0.25,1,0.25,5,1,1,0.25,0.157221207
256,1,0.25,1,0.25,1,0.25,1,0.25,1,0.1,0.447293447
257,1,0.25,1,0.25,1,0.25,1,0.25,1,0.5,1.002849003
258,1,0.25,1,0.25,1,0.25,1,0.25,1,1,0.652421652
259,1,0.25,1,0.25,1,0.25,1,0.25,2,0.1,1.207977208
260,1,0.25,1,0.25,1,0.25,1,0.25,2,0.25,0.951566952
261,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5,0.866096866
262,1,0.25,1,0.25,1,0.25,1,0.25,2,1,0.165242165
263,1,0.25,1,0.25,1,0.25,1,0.25,3,0.1,0.267806268
264,1,0.25,1,0.25,1,0.25,1,0.25,3,0.25,0.524216524
265,1,0.25,1,0.25,1,0.25,1,0.25,3,0.5,0.387464387
266,1,0.25,1,0.25,1,0.25,1,0.25,3,1,0
267,1,0.25,1,0.25,1,0.25,1,0.25,4,0.1,0.96011396
268,1,0.25,1,0.25,1,0.25,1,0.25,4,0.25,1.686609687
269,1,0.25,1,0.25,1,0.25,1,0.25,4,0.5,1.276353276
270,1,0.25,1,0.25,1,0.25,1,0.25,4,1,0.866096866
271,1,0.25,1,0.25,1,0.25,1,0.25,5,0.1,1.507122507
272,1,0.25,1,0.25,1,0.25,1,0.25,5,0.25,1.327635328
273,1,0.25,1,0.25,1,0.25,1,0.25,5,0.5,0.814814815
274,1,0.25,1,0.25,1,0.25,1,0.25,5,1,0.054131054
275,0,0,1,0.25,1,0.25,1,0.25,1,0.25,0.139107612
276,1,0.25,0,0,1,0.25,1,0.25,1,0.25,0.901579587
277,1,0.25,1,0.25,0,0,1,0.25,1,0.25,0.266094421
278,1,0.25,1,0.25,1,0.25,0,0,1,0.25,0.085923218
279,1,0.25,1,0.25,1,0.25,1,0.25,0,0,0
280,0,0,1,0.25,1,0.25,1,0.25,1,0.25,0.186351706
281,1,0.25,0,0,1,0.25,1,0.25,1,0.25,0.737545565
282,1,0.25,1,0.25,0,0,1,0.25,1,0.25,0.291845494
283,1,0.25,1,0.25,1,0.25,0,0,1,0.25,0.10786106
284,1,0.25,1,0.25,1,0.25,1,0.25,0,0,0
285,0,0,1,0.25,1,0.25,1,0.25,1,0.25,0.213910761
286,1,0.25,0,0,1,0.25,1,0.25,1,0.25,0.708383961
287,1,0.25,1,0.25,0,0,1,0.25,1,0.25,0.665236052
288,1,0.25,1,0.25,1,0.25,0,0,1,0.25,0.096892139
289,1,0.25,1,0.25,1,0.25,1,0.25,0,0,0
